Seq. number,Date,Daily Zoo Attendance,Log attendance,Revenue,Average Ticket Price,MaxTemp,Gas price,Total Ad Stock,Ad,Weather Condition,Weather Condition refined,Holiday/Events,Month,Season,day of the week,Weekend?,Events_recode,Weather_recode_2
753,04/23/2006,337,5.82008293,3080.18,9.14,64,3.1,497,yes,RAIN,RAIN,EarthDay,APR,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
754,04/24/2006,1058,6.96413561,9691.28,9.16,59,3.12,516,yes,RAIN,RAIN,NONE,APR,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
755,04/25/2006,4829,8.48239469,44281.93,9.17,70,3.12,429,yes,RAIN,RAIN,NONE,APR,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
756,04/26/2006,8978,9.10253242,897.8,0.1,58,3.12,392,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
757,04/27/2006,7578,8.93300459,69641.82,9.19,70,3.12,362,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
758,04/28/2006,5301,8.57565076,48557.16,9.16,62,3.12,336,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
759,04/29/2006,8896,9.09335702,81843.2,9.2,63,3.12,313,yes,SUNNY/CLOUDY,Sunny,NONE,APR,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
760,04/30/2006,10691,9.27715755,97395.01,9.11,68,3.12,292,yes,SUNNY/CLOUDY,Sunny,NONE,APR,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
761,05/01/2006,3101,8.03947992,28312.13,9.13,69,3.12,375,yes,SUNNY/CLOUDY,Sunny,NONE,MAY,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
762,05/02/2006,3127,8.04782936,29018.56,9.28,70,3.13,441,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
763,05/03/2006,9935,9.20381915,993.5,0.1,71,3.14,498,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
764,05/04/2006,5791,8.66406027,53856.3,9.3,77,3.15,547,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
765,05/05/2006,5202,8.55679845,48170.52,9.26,79,3.15,691,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
766,05/06/2006,7934,8.9789126,72120.06,9.09,73,3.16,765,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
767,05/07/2006,12391,9.42472568,112386.37,9.07,65,3.17,811,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
768,05/08/2006,3051,8.02322468,29350.62,9.62,63,3.18,845,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
769,05/09/2006,4513,8.4147174,41880.64,9.28,62,3.19,874,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
770,05/10/2006,11243,9.32750099,1124.3,0.1,68,3.2,899,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
771,05/11/2006,5489,8.61050137,50279.24,9.16,61,3.2,922,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
772,05/12/2006,2096,7.64778605,19660.48,9.38,72,3.21,943,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
773,05/13/2006,4561,8.42529718,41961.2,9.2,71,3.22,961,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,MomsDay,MAY,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
774,05/14/2006,7192,8.88072458,65950.64,9.17,63,3.23,979,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,MomsDay,MAY,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
775,05/15/2006,3749,8.22924442,34040.92,9.08,66,3.2,939,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
776,05/16/2006,2920,7.9793389,27272.8,9.34,65,3.18,903,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
777,05/17/2006,10104,9.22068666,1010.4,0.1,72,3.18,872,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
778,05/18/2006,7052,8.86106654,66429.84,9.42,70,3.18,844,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
779,05/19/2006,10462,9.25550492,97819.7,9.35,63,3.17,819,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
780,05/20/2006,7683,8.94676537,71605.56,9.32,70,3.17,796,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
781,05/21/2006,6558,8.78844096,59874.54,9.13,71,3.17,775,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
782,05/22/2006,6293,8.74719318,57706.81,9.17,66,3.17,756,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
783,05/23/2006,7998,8.98694679,74221.44,9.28,69,3.17,738,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
784,05/24/2006,18506,9.82585028,1850.6,0.1,74,3.17,722,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
785,05/25/2006,11145,9.31874625,103537.05,9.29,77,3.16,707,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
786,05/26/2006,7579,8.93313654,69499.43,9.17,75,3.16,693,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
787,05/27/2006,10492,9.25836834,95896.88,9.14,85,3.16,680,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,ButterflyBlast,MAY,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
788,05/28/2006,16996,9.7407333,154153.72,9.07,79,3.16,668,yes,SUNNY/CLOUDY,PARTLY CLOUDY,ButterflyBlast,MAY,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
789,05/29/2006,12052,9.3969859,109070.6,9.05,83,3.16,657,yes,RAIN,RAIN,ButterflyBlast,MAY,HIGH SEASON,Mon,No,Have Events,NOT GOOD WEATHER
790,05/30/2006,7735,8.95351076,73714.55,9.53,82,3.16,646,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
791,05/31/2006,14375,9.57324587,1437.5,0.1,72,3.15,636,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
792,06/01/2006,8204,9.01237712,76379.24,9.31,81,3.15,626,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
793,06/02/2006,6601,8.79497643,60927.23,9.23,82,3.15,517,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
794,06/03/2006,1284,7.15773548,11697.24,9.11,70,3.15,473,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
795,06/04/2006,8507,9.04864463,77243.56,9.08,69,3.15,453,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Sun,Yes,NONE,NOT GOOD WEATHER
796,06/05/2006,8065,8.99528899,74198,9.2,71,3.15,441,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
797,06/06/2006,7219,8.88447172,66342.61,9.19,73,3.14,432,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
798,06/07/2006,4794,8.47512041,479.4,0.1,64,3.14,424,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
799,06/08/2006,4443,8.3990851,40875.6,9.2,67,3.14,417,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
800,06/09/2006,9535,9.16272452,87245.25,9.15,77,3.14,411,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
801,06/10/2006,9097,9.11569997,83328.52,9.16,67,3.14,405,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
802,06/11/2006,13165,9.48531707,119538.2,9.08,71,3.14,399,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
803,06/12/2006,5879,8.67914196,54204.38,9.22,74,3.14,430,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
804,06/13/2006,10278,9.23776097,94763.16,9.22,82,3.14,459,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
805,06/14/2006,17048,9.74378817,1704.8,0.1,76,3.13,485,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
806,06/15/2006,9184,9.12521812,84400.96,9.19,82,3.13,508,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
807,06/16/2006,8870,9.09043008,81870.1,9.23,87,3.13,530,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
808,06/17/2006,9096,9.11559004,83137.44,9.14,85,3.13,549,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,DadsDay,JUNE,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
809,06/18/2006,7213,8.88364023,65566.17,9.09,88,3.13,568,yes,SUNNY/CLOUDY,PARTLY CLOUDY,DadsDay,JUNE,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
810,06/19/2006,5271,8.56997538,48229.65,9.15,89,3.13,592,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
811,06/20/2006,5074,8.53188474,46427.1,9.15,86,3.14,615,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
812,06/21/2006,18157,9.80681144,1815.7,0.1,82,3.14,637,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
813,06/22/2006,4870,8.49084922,44852.7,9.21,88,3.15,656,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
814,06/23/2006,5298,8.57508467,48370.74,9.13,86,3.15,675,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
815,06/24/2006,1679,7.42595366,15312.48,9.12,76,3.16,692,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
816,06/25/2006,2181,7.68753877,19781.67,9.07,73,3.16,707,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Sun,Yes,NONE,NOT GOOD WEATHER
817,06/26/2006,3324,8.10892416,30148.68,9.07,75,3.17,722,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
818,06/27/2006,6082,8.71308887,55528.66,9.13,78,3.17,736,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
819,06/28/2006,10778,9.2852623,1077.8,0.1,85,3.17,760,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
820,06/29/2006,5660,8.64117917,51732.4,9.14,83,3.18,782,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
821,06/30/2006,6220,8.73552519,57037.4,9.17,80,3.18,801,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
822,07/01/2006,10299,9.23980208,93823.89,9.11,86,3.19,819,yes,SUNNY/CLOUDY,PARTLY CLOUDY,CatsNDogs,JUL,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
823,07/02/2006,10390,9.24859908,94549,9.1,91,3.19,835,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,CatsNDogs,JUL,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
824,07/03/2006,11715,9.36862535,106840.8,9.12,88,3.2,798,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,INDEPDAY,JUL,HIGH SEASON,Mon,No,Have Events,GOOD WEATHER
825,07/04/2006,7910,8.97588306,71743.7,9.07,90,3.2,771,yes,RAIN,RAIN,INDEPDAY,JUL,HIGH SEASON,Tue,No,Have Events,NOT GOOD WEATHER
826,07/05/2006,5130,8.54286094,513,0.1,77,3.21,736,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
827,07/06/2006,6962,8.84822207,63911.16,9.18,80,3.21,704,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
828,07/07/2006,10879,9.2945896,99760.43,9.17,80,3.22,675,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
829,07/08/2006,13837,9.53510144,126193.44,9.12,82,3.22,650,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,JungleJuly,JUL,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
830,07/09/2006,9240,9.13129716,84176.4,9.11,85,3.22,626,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,JungleJuly,JUL,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
831,07/10/2006,5251,8.56617381,47994.14,9.14,83,3.23,605,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
832,07/11/2006,5816,8.66836802,52983.76,9.11,88,3.23,586,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
833,07/12/2006,23877,10.0806709,2387.7,0.1,84,3.24,568,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
834,07/13/2006,8797,9.08216603,80140.67,9.11,86,3.24,551,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
835,07/14/2006,7616,8.93800658,69762.56,9.16,81,3.24,536,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
836,07/15/2006,8563,9.05520588,77837.67,9.09,83,3.24,522,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
837,07/16/2006,8385,9.03419967,76051.95,9.07,93,3.24,508,yes,SUNNY/CLOUDY,Sunny,NONE,JUL,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
838,07/17/2006,3702,8.21662849,33836.28,9.14,97,3.24,496,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
839,07/18/2006,4830,8.48260175,44194.5,9.15,97,3.24,484,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
840,07/19/2006,27624,10.2264402,2762.4,0.1,87,3.24,474,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
841,07/20/2006,8417,9.03800875,76931.38,9.14,84,3.24,463,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
842,07/21/2006,4552,8.42332198,41468.72,9.11,87,3.24,454,yes,SNOW,SNOW,NONE,JUL,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
843,07/22/2006,3213,8.07496036,29206.17,9.09,82,3.24,445,yes,RAIN,RAIN,Bugmania,JUL,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
844,07/23/2006,8833,9.08624999,80380.3,9.1,80,3.24,436,yes,RAIN,RAIN,Bugmania,JUL,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
845,07/24/2006,6534,8.78477459,59786.1,9.15,84,3.24,429,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
846,07/25/2006,8181,9.00956967,74610.72,9.12,84,3.24,422,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
847,07/26/2006,38067,10.547103,3806.7,0.1,85,3.24,415,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
848,07/27/2006,12237,9.41221943,112090.92,9.16,86,3.24,408,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
849,07/28/2006,5713,8.65049956,52045.43,9.11,93,3.24,401,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
850,07/29/2006,7676,8.94585386,69774.84,9.09,92,3.24,395,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
851,07/30/2006,6846,8.83141982,62093.22,9.07,91,3.24,389,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
852,07/31/2006,4097,8.31801028,37323.67,9.11,90,3.24,384,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
853,08/01/2006,2337,7.75662333,21173.22,9.06,97,3.24,379,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
854,08/02/2006,6470,8.77493139,647,0.1,97,3.24,374,yes,SUNNY/CLOUDY,Sunny,NONE,AUG,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
855,08/03/2006,1139,7.03790596,10524.36,9.24,99,3.24,369,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
856,08/04/2006,4690,8.45318786,42679,9.1,93,3.24,364,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
857,08/05/2006,8268,9.02014792,75156.12,9.09,91,3.24,360,yes,SUNNY/CLOUDY,PARTLY CLOUDY,Kidsday,AUG,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
858,08/06/2006,10081,9.21840774,91636.29,9.09,83,3.24,356,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,Kidsday,AUG,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
859,08/07/2006,4720,8.45956408,43282.4,9.17,87,3.24,536,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
860,08/08/2006,9022,9.10742132,82641.52,9.16,89,3.24,590,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
861,08/09/2006,32285,10.382358,3228.5,0.1,81,3.24,605,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
862,08/10/2006,8219,9.01420383,75039.47,9.13,84,3.24,609,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
863,08/11/2006,7637,8.94076013,69954.92,9.16,80,3.22,609,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
864,08/12/2006,13092,9.47975664,119268.12,9.11,79,3.21,608,yes,SUNNY/CLOUDY,PARTLY CLOUDY,AfricanAdventure,AUG,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
865,08/13/2006,15426,9.64380968,140376.6,9.1,83,3.2,607,yes,SUNNY/CLOUDY,PARTLY CLOUDY,AfricanAdventure,AUG,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
866,08/14/2006,8126,9.00282408,74271.64,9.14,82,3.18,648,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
867,08/15/2006,4284,8.36264243,39027.24,9.11,81,3.17,686,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
868,08/16/2006,32114,10.3770474,3211.4,0.1,83,3.15,719,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
869,08/17/2006,9023,9.10753215,82470.22,9.14,84,3.13,750,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
870,08/18/2006,7278,8.89261138,66448.14,9.13,81,3.12,778,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
871,08/19/2006,10150,9.22522898,92263.5,9.09,81,3.1,804,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
872,08/20/2006,8434,9.04002643,76833.74,9.11,91,3.09,828,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
873,08/21/2006,9006,9.1056463,82224.78,9.13,88,3.07,860,yes,SUNNY/CLOUDY,PARTLY CLOUDY,PlayWeek,AUG,HIGH SEASON,Mon,No,Have Events,GOOD WEATHER
874,08/22/2006,8805,9.08307502,80477.7,9.14,83,3.05,890,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,PlayWeek,AUG,HIGH SEASON,Tue,No,Have Events,GOOD WEATHER
875,08/23/2006,36880,10.5154247,3688,0.1,89,3.04,916,yes,SUNNY/CLOUDY,PARTLY CLOUDY,PlayWeek,AUG,HIGH SEASON,Wed,No,Have Events,GOOD WEATHER
876,08/24/2006,9135,9.11986847,83402.55,9.13,80,3.02,941,yes,RAIN,RAIN,PlayWeek,AUG,HIGH SEASON,Thu,No,Have Events,NOT GOOD WEATHER
877,08/25/2006,2726,7.91059061,24752.08,9.08,78,3.01,963,yes,RAIN,RAIN,PlayWeek,AUG,HIGH SEASON,Fri,No,Have Events,NOT GOOD WEATHER
878,08/26/2006,4617,8.43750042,41968.53,9.09,71,2.99,984,yes,RAIN,RAIN,PlayWeek,AUG,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
879,08/27/2006,1603,7.37963215,14603.33,9.11,74,2.98,1000,yes,RAIN,RAIN,PlayWeek,AUG,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
880,08/28/2006,2427,7.79441121,22109.97,9.11,79,2.96,1017,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
881,08/29/2006,925,6.82979374,8417.5,9.1,72,2.95,1032,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
882,08/30/2006,15649,9.6581623,1564.9,0.1,76,2.93,1046,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
883,08/31/2006,10785,9.28591156,98682.75,9.15,73,2.92,1060,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
884,09/01/2006,7032,8.85822644,64202.16,9.13,70,2.9,1072,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
885,09/02/2006,310,5.7365723,2821,9.1,69,2.89,1084,yes,RAIN,RAIN,RetroWeeknd,SEP,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
886,09/03/2006,11039,9.30918974,100565.29,9.11,78,2.87,1096,yes,RAIN,RAIN,RetroWeeknd,SEP,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
887,09/04/2006,13916,9.54079454,126774.76,9.11,79,2.86,909,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,RetroWeeknd,SEP,HIGH SEASON,Mon,No,Have Events,GOOD WEATHER
888,09/05/2006,1745,7.46450983,20242,11.6,71,2.84,838,yes,RAIN,RAIN,NONE,SEP,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
889,09/06/2006,4451,8.40088407,445.1,0.1,76,2.83,806,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
890,09/07/2006,2982,8.0003495,35157.78,11.79,80,2.81,787,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,SEP,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
891,09/08/2006,2496,7.82244473,29427.84,11.79,80,2.8,775,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,SEP,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
892,09/09/2006,9118,9.11800576,105859.98,11.61,81,2.78,767,yes,SUNNY/CLOUDY,PARTLY CLOUDY,Grandparents,SEP,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
893,09/10/2006,10270,9.2369823,119440.1,11.63,74,2.77,761,yes,SUNNY/CLOUDY,PARTLY CLOUDY,Grandparents,SEP,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
