Make/Model,MPG_City,MPG_Hwy,Weight(lb),Seating,Horsepower,HP/Pound,Displacement,Cylinders,Origin,Transmission,EPA_Class,Length,Fuel,HEV,Turbocharger,Make,Model,GP1000M_City,GP1000M_Hwy
Isuzu_Ascender,14,20,4417,5,285,0.06452343,4.2,6,3,A,suv2,191.6,gas,no,no,Isuzu,Ascender,71.4285714,50
Isuzu_Ascender,14,20,4594,5,285,0.06203744,4.2,6,3,A,suv4,191.6,gas,no,no,Isuzu,Ascender,71.4285714,50
Jaguar_XK,16,25,3671,4,300,0.0817216,4.2,8,2,A,minicompact,188.6,gas,no,no,Jaguar,XK,62.5,40
Jaguar_XKR,15,23,3814,4,420,0.11012061,4.2,8,2,A,minicompact,188.6,gas,no,no,Jaguar,XKR,66.6666667,43.4782609
Jaguar_X-Type,16,22,3516,5,227,0.064562,3,6,2,A,compact,183.8,gas,no,no,Jaguar,X-Type,62.5,45.4545455
Jaguar_S-Type,17,26,3760,5,235,0.0625,3,6,2,A,midsize,193.1,gas,no,no,Jaguar,S-Type,58.8235294,38.4615385
Jaguar_S-Type,16,24,3868,5,300,0.07755946,4.2,8,2,A,midsize,193.1,gas,no,no,Jaguar,S-Type,62.5,41.6666667
Jaguar_XJ8,16,25,3726,5,300,0.0805153,4.2,8,2,A,large,200.4,gas,no,no,Jaguar,XJ8,62.5,40
Jaguar_XJR,15,22,3958,5,400,0.10106114,4.2,8,2,A,large,200.4,gas,no,no,Jaguar,XJR,66.6666667,45.4545455
Jeep_Commander,14,19,4649,5,210,0.045171,3.7,6,1,A,suv2,188.5,gas,no,no,Jeep,Commander,71.4285714,52.6315789
Jeep_Commander,13,19,5055,7,330,0.0652819,5.7,8,1,A,suv2,188.5,gas,no,no,Jeep,Commander,76.9230769,52.6315789
Jeep_Commander_FFV,14,19,4936,7,305,0.06179092,4.7,8,1,A,suv2,188.5,gas,no,no,Jeep,Commander_FFV,71.4285714,52.6315789
Jeep_Compass,21,25,3153,5,172,0.05455122,2.4,4,1,AV,suv2,173.4,gas,no,no,Jeep,Compass,47.6190476,40
Jeep_Compass,23,28,3071,5,172,0.05600782,2.4,4,1,M,suv2,173.4,gas,no,no,Jeep,Compass,43.4782609,35.7142857
Jeep_Grand_Cherokee,15,20,4316,5,210,0.04865616,3.7,6,1,A,suv2,188,gas,no,no,Jeep,Grand_Cherokee,66.6666667,50
Jeep_Grand_Cherokee,13,19,4593,5,330,0.07184847,5.7,8,1,A,suv2,188,gas,no,no,Jeep,Grand_Cherokee,76.9230769,52.6315789
Jeep_Grand_Cherokee_FFV,14,19,4460,5,305,0.06838565,4.7,8,1,A,suv2,188,gas,no,no,Jeep,Grand_Cherokee_FFV,71.4285714,52.6315789
Jeep_Patriot,23,28,3108,5,173,0.05566281,2.4,4,1,M,suv2,173.6,gas,no,no,Jeep,Patriot,43.4782609,35.7142857
Jeep_Commander,14,19,4826,5,210,0.0435143,3.7,6,1,A,suv4,188.5,gas,no,no,Jeep,Commander,71.4285714,52.6315789
Jeep_Commander,13,17,5239,7,330,0.06298912,5.7,8,1,A,suv4,188.5,gas,no,no,Jeep,Commander,76.9230769,58.8235294
Jeep_Commander_FFV,13,18,5119,7,305,0.05958195,4.7,8,1,A,suv4,188.5,gas,no,no,Jeep,Commander_FFV,76.9230769,55.5555556
Jeep_Compass,21,24,3305,5,172,0.05204236,2.4,4,1,AV,suv4,173.4,gas,no,no,Jeep,Compass,47.6190476,41.6666667
Jeep_Compass,22,27,3177,5,172,0.05413912,2.4,4,1,M,suv4,173.4,gas,no,no,Jeep,Compass,45.4545455,37.037037
Jeep_Grand_Cherokee,15,19,4488,5,210,0.04679144,3.7,6,1,A,suv4,188,gas,no,no,Jeep,Grand_Cherokee,66.6666667,52.6315789
Jeep_Grand_Cherokee,13,18,4730,5,330,0.06976744,5.7,8,1,A,suv4,186.7,gas,no,no,Jeep,Grand_Cherokee,76.9230769,55.5555556
Jeep_Grand_Cherokee,11,14,4819,5,425,0.08819257,6.1,8,1,A,suv4,186.7,gas,no,no,Jeep,Grand_Cherokee,90.9090909,71.4285714
Jeep_Grand_Cherokee_FFV,14,19,4695,5,305,0.06496273,4.7,8,1,A,suv4,188,gas,no,no,Jeep,Grand_Cherokee_FFV,71.4285714,52.6315789
Jeep_Liberty,15,21,4269,5,210,0.04919185,3.7,6,1,A,suv4,176.9,gas,no,no,Jeep,Liberty,66.6666667,47.6190476
