Day,Month,Year,Price,RelChange,Time,RiskFree
22.0,4.0,1987.0,87.375,-0.0196353,87.3083,67.83727769165063
23.0,4.0,1987.0,87.875,0.00572246,87.3111,67.85003109985666
24.0,4.0,1987.0,86.25,-0.0184922,87.3139,67.86278690570344
27.0,4.0,1987.0,86.625,0.00434783,87.3222,67.87554510964172
28.0,4.0,1987.0,86.25,-0.004329,87.325,67.88830571212233
29.0,4.0,1987.0,87.375,0.0130435,87.3278,67.90106871359622
30.0,4.0,1987.0,90.0,0.0300429,87.3306,67.91383411451437
1.0,5.0,1987.0,91.625,0.0180556,87.3333,67.92660191532791
4.0,5.0,1987.0,91.25,-0.00409277,87.3417,67.93937211648799
5.0,5.0,1987.0,91.75,0.00547945,87.3444,67.9521447184459
6.0,5.0,1987.0,91.75,0.0,87.3472,67.96491972165296
7.0,5.0,1987.0,91.5,-0.0027248,87.35,67.97769712656064
8.0,5.0,1987.0,89.75,-0.00546448,87.3528,67.99047693362044
11.0,5.0,1987.0,89.75,0.0,87.3611,68.00325914328397
12.0,5.0,1987.0,90.0,0.00278552,87.3639,68.01604375600292
13.0,5.0,1987.0,89.5,-0.00555556,87.3667,68.02883077222904
14.0,5.0,1987.0,88.5,-0.0111732,87.3694,68.04162019241423
15.0,5.0,1987.0,87.625,-0.00988701,87.3722,68.0544120170104
18.0,5.0,1987.0,87.125,-0.00570613,87.3806,68.06720624646961
19.0,5.0,1987.0,85.125,-0.0229555,87.3833,68.08000288124396
20.0,5.0,1987.0,83.875,-0.0146843,87.3861,68.09280192178564
21.0,5.0,1987.0,83.125,-0.00894188,87.3889,68.10560336854694
22.0,5.0,1987.0,84.25,0.0135338,87.3917,68.11840722198023
26.0,5.0,1987.0,84.75,0.00593472,87.4028,68.13121348253797
27.0,5.0,1987.0,83.875,-0.0103245,87.4056,68.1440221506727
28.0,5.0,1987.0,85.25,0.0163934,87.4083,68.15683322683702
29.0,5.0,1987.0,85.25,0.0,87.4111,68.16964671148368
1.0,6.0,1987.0,85.25,0.0,87.4167,68.18246260506544
2.0,6.0,1987.0,84.375,-0.0102639,87.4194,68.1952809080352
3.0,6.0,1987.0,86.375,0.0237037,87.4222,68.20810162084592
4.0,6.0,1987.0,86.375,0.0,87.425,68.22092474395065
5.0,6.0,1987.0,85.875,-0.00578871,87.4278,68.23375027780251
8.0,6.0,1987.0,86.25,0.00436681,87.4361,68.24657822285475
9.0,6.0,1987.0,86.125,-0.00144928,87.4389,68.25940857956066
10.0,6.0,1987.0,84.0,-0.0246734,87.4417,68.27224134837361
11.0,6.0,1987.0,84.375,0.00446429,87.4444,68.28507652974712
12.0,6.0,1987.0,83.875,-0.00592593,87.4472,68.2979141241347
15.0,6.0,1987.0,83.625,-0.00298063,87.4556,68.31075413199005
16.0,6.0,1987.0,82.75,-0.0104634,87.4583,68.32359655376688
17.0,6.0,1987.0,82.125,-0.00755287,87.4611,68.33644138991899
