Return,Variance,Code
0.01883,0.01199,D_SHORT
0.02263,0.04062,D_SHORT
0.00727,0.02131,D_SHORT
0.05706,0.04825,E_ALL
0.05007,0.0276,E_ALL
-0.0073,0.01699,E_ALL
-0.00327,0.00635,E_ALL
0.0027,0.00578,E_ALL
-0.02136,0.02477,E_ALL
0.02504,0.033,E_ALL
0.03823,0.02668,E_ALL
-0.02702,0.02348,E_ALL
-0.04929,0.05725,E_ALL
-0.00705,0.0083,E_ALL
0.00819,0.0353,E_ALL
0.00959,0.0237,E_ALL
-0.03321,0.03189,E_ALL
0.02504,0.00735,E_ALL
-0.01859,0.03104,E_ALL
-0.04176,0.05368,E_ALL
0.02233,0.03004,E_ALL
-0.00468,0.00622,E_ALL
-0.03302,0.0305,E_ALL
-0.00516,0.00751,E_ALL
-0.00135,0.01297,E_ALL
-0.00384,0.01257,E_ALL
0.01819,0.03877,E_ALL
0.03702,0.01772,E_ALL
0.0501,0.07043,E_ALL
-0.02337,0.04373,E_ALL
-0.0115,0.01663,E_ALL
-0.01539,0.03501,E_ALL
0.02585,0.05064,E_ALL
-0.00552,0.02555,E_ALL
-0.01153,0.01631,E_ALL
-0.02595,0.04885,E_ALL
-0.01589,0.02215,E_ALL
-0.02943,0.03381,E_ALL
0.02129,0.0102,E_ALL
0.02453,0.01665,E_ALL
0.00202,0.01411,E_ALL
0.00883,0.02678,E_ALL
0.02743,0.03216,E_ALL
-0.02795,0.02609,E_ALL
0.03466,0.01427,E_ALL
0.01536,0.02689,E_ALL
0.05094,0.02884,E_ALL
-0.01368,0.01305,E_ALL
-0.01795,0.02198,E_ALL
-0.00115,0.02443,E_ALL
-0.01111,0.03034,E_ALL
0.04593,0.02081,E_ALL
-0.01591,0.01828,E_ALL
0.01653,0.01309,E_ALL
0.02842,0.033,E_ALL
0.03634,0.02632,E_ALL
-0.01871,0.02157,E_ALL
0.01402,0.00784,E_ALL
0.02427,0.00711,E_ALL
-0.00743,0.01416,E_ALL
0.01433,0.01494,E_ALL
0.02552,0.00658,E_ALL
0.02225,0.01688,E_ALL
-0.02023,0.02812,E_ALL
0.00352,0.0049,E_ALL
-0.00169,0.01581,E_ALL
-0.04218,0.04729,E_ALL
0.00579,0.00287,E_ALL
-0.03388,0.03858,E_ALL
-0.00578,0.01268,E_ALL
0.01091,0.00759,E_ALL
0.03628,0.02709,E_ALL
-0.01098,0.00843,E_ALL
0.03593,0.0158,E_ALL
0.00586,0.01173,E_ALL
0.01022,0.03697,E_ALL
-0.03727,0.04648,E_ALL
0.05054,0.02908,E_ALL
0.02508,0.05064,E_ALL
-0.00214,0.02579,E_ALL
0.03084,0.01534,E_ALL
0.0356,0.04959,E_ALL
-0.02209,0.02434,E_ALL
-0.00501,0.0277,E_ALL
0.04204,0.01857,E_ALL
0.01,0.02349,E_ALL
0.01929,0.01599,E_ALL
0.03443,0.01376,E_ALL
0.00996,0.03764,E_ALL
-0.00253,0.00458,E_ALL
-0.00052,0.01824,E_ALL
-0.02976,0.03036,E_ALL
-0.01851,0.01814,E_ALL
-0.01372,0.01464,E_ALL
0.01003,0.00965,E_ALL
0.01014,0.02226,E_ALL
-0.00816,0.00939,E_ALL
0.02913,0.0387,E_ALL
-0.02681,0.02911,E_ALL
0.00807,0.0249,E_ALL
-0.04173,0.043,E_ALL
0.00185,0.00438,E_ALL
-0.01593,0.01836,E_ALL
