Time,T-Bills,VWD Index ,CPI,Risk-free Rate,VW Return,Inflation,Excess TBill,Excess VWD,Date
1925.9166666666667,38.680161,,42.187649,,,,-3.507488000000002,,251231.0
1926.0,38.81105,1.471,42.187649,0.0033838794000884166,,0.0,-3.376598999999999,-40.716649000000004,260130.0
1926.0833333333333,38.9151,1.424,42.03054,0.002680937516506275,-0.03195105370496271,-0.00372405203238508,-3.1154399999999995,-40.60654,260227.0
1926.1666666666667,39.031601,1.332,41.79488,0.0029937222312161477,-0.06460674157303362,-0.005606875381567852,-2.763278999999997,-40.46288,260331.0
1926.25,39.165359,1.381,42.187649,0.003426915539539366,0.036786786786786735,0.009397538645882013,-3.022289999999998,-40.806649,260430.0
1926.3333333333333,39.170391,1.401,41.951962,0.00012848088536606864,0.014482259232440273,-0.005586635083647317,-2.7815709999999996,-40.550962,260528.0
1926.4166666666667,39.305882,1.479,41.637699,0.0034590157652496932,0.05567451820128484,-0.007491020324627581,-2.331817000000001,-40.158699,260630.0
1926.5,39.394039,1.521,41.244888,0.002242844976739168,0.028397565922920767,-0.009434022759038502,-1.8508490000000037,-39.723888,260731.0
1926.5833333333333,39.49395,1.563,41.00922,0.0025361958950185014,0.02761341222879687,-0.005713871740905296,-1.515270000000001,-39.44622,260831.0
1926.6666666666667,39.583721,1.567,41.2449,0.0022730316921958666,0.0025591810620601433,0.005747000308711117,-1.6611790000000042,-39.6779,260930.0
1926.75,39.710171,1.524,41.402039,0.003194495029914078,-0.027440970006381574,0.0038099013453784785,-1.6918679999999995,-39.878039,261030.0
1926.8333333333333,39.832981,1.566,41.559158,0.003092658553396662,0.02755905511811026,0.0037949580212702674,-1.7261769999999999,-39.993157999999994,261130.0
1926.9166666666667,39.943642,1.611,41.559158,0.002778124991448678,0.028735632183908,0.0,-1.6155159999999995,-39.948158,261231.0
1927.0,40.042011,1.614,41.24493,0.002462694813858117,0.0018621973929237206,-0.007560980903414838,-1.2029189999999943,-39.63093,270131.0
1927.0833333333333,40.144901,1.687,40.930691,0.0025695512645455055,0.04522924411400245,-0.007618851577636173,-0.7857900000000058,-39.243691000000005,270228.0
1927.1666666666667,40.26376,1.698,40.695011,0.0029607496105171736,0.006520450503852933,-0.005758026415923496,-0.43125100000000316,-38.997011,270331.0
1927.25,40.366261,1.71,40.695011,0.0025457384009840048,0.007067137809187286,0.0,-0.32874999999999943,-38.985011,270430.0
1927.3333333333333,40.487679,1.808,41.009258,0.003007908015062343,0.05730994152046789,0.007722003073054869,-0.5215790000000027,-39.201258,270531.0
1927.4166666666667,40.59227,1.771,41.402081,0.0025832797182569842,-0.020464601769911585,0.00957888582134307,-0.8098110000000034,-39.631081,270630.0
1927.5,40.71365,1.905,40.616482,0.0029902244934811983,0.07566346696781487,-0.018974867471033757,0.09716800000000347,-38.711482,270730.0
1927.5833333333333,40.825901,1.953,40.380779,0.0027570851544875133,0.025196850393700808,-0.005803136766005507,0.4451220000000049,-38.427778999999994,270831.0
1927.6666666666667,40.911499,2.044,40.616482,0.002096659177221769,0.04659498207885303,0.005837009731783552,0.2950170000000014,-38.572482,270930.0
1927.75,41.01458,1.963,40.85218,0.002519609462366634,-0.03962818003913892,0.005803013663270968,0.1624000000000052,-38.889179999999996,271031.0
