Date,Column,Period,Subscribers,Pct Growth,Subscribe to 1/4,Log Subscribers,Sqrt Subscribers,Residuals Subscribe to 1/4,Mil Sub,Lag Residuals,Lag 2 Residuals,Second Residuals,Lag Prediction,Linear Prediction,Linear^4,Growth,Third Residuals
1985-01-01,1985.0,1.0,91600.0,,17.396980169225667,11.425186550662222,302.65491900843114,-0.527530104279677,0.0916,,,,,17.924510273505344,103226.02298937574,,
1985-06-30,1985.0,2.0,203600.0,122.27074235807859,21.241952991830555,12.223912563658505,451.22056690713913,0.7700347493046173,0.2036,-0.527530104279677,,2.0,,20.471918242525938,175644.33769864557,,
1985-12-31,1985.0,3.0,340213.0,67.09872298624754,24.151145042856207,12.737327171029799,583.2778068810779,1.1318188313096762,0.340213,0.7700347493046173,-0.527530104279677,0.43983508291888995,23.790040218362837,23.019326211546534,280782.7542245629,,0.36110482449337056
1986-06-30,1986.0,4.0,500000.0,46.96675318109537,26.591479484724942,13.122363377404328,707.1067811865476,1.0247453041578183,0.5,1.1318188313096762,0.7700347493046173,-0.05826284327829612,26.51498704658696,25.566734180567124,427268.6458656867,,0.07649243813798279
1986-12-31,1986.0,5.0,681825.0,36.364999999999995,28.735465064073143,13.432528305658169,825.7269524485682,0.6213229144854218,0.681825,1.0247453041578183,1.1318188313096762,-0.37597055951618685,28.874038656360554,28.11414214958772,624740.0463313493,,-0.13857359228741117
1987-06-30,1987.0,6.0,883779.0,29.619623803761964,30.660972064570732,13.691962310364572,940.0952079443869,-0.0005780540375823762,0.883779,0.6213229144854218,1.0247453041578183,-0.6108263886183565,30.970956071434316,30.661550118608314,883845.6497416532,,-0.3099840068635835
1987-12-31,1987.0,7.0,1230860.0,39.27237465474966,33.30827676172539,14.023223670023121,1109.4413008356953,0.09931867409648021,1.23086,-0.0005780540375823762,0.6213229144854218,0.09826666727972366,32.86220742047498,33.20895808762891,1216244.8106274738,,0.4460693412504071
1988-06-30,1988.0,8.0,1608700.0,30.697236078839186,35.61383690126957,14.290936957378399,1268.3453788302302,-0.1425291553799255,1.6087,0.09931867409648021,-0.0005780540375823762,-0.26831589943368783,35.73436295959143,35.7563660566495,1634607.5439304572,,-0.12052605832185748
1988-12-31,1988.0,9.0,2060440.0,28.08105924038043,37.88698038270969,14.5384301101912,1435.4232825198287,-0.4167936429604069,2.06044,-0.1425291553799255,0.09931867409648021,-0.31982586474399,37.986448600911906,38.303774025670094,2152614.5250030244,,-0.09946821820221885
1989-06-30,1989.0,10.0,2691790.0,30.641513463143795,40.5051545740459,14.805716957788597,1640.6675470673515,-0.34602742064478775,2.69179,-0.4167936429604069,-0.1425291553799255,0.006656459680996818,40.28297205990497,40.85118199469069,2784957.089608365,,0.2221825141409326
1989-12-31,1989.0,11.0,3500940.0,30.059922950898844,43.25598111346719,15.068542061829364,1871.0799020886307,-0.14260885024408765,3.50094,-0.34602742064478775,-0.4167936429604069,0.11496048041021822,43.03025500522403,43.39858996371128,3547337.23392044,,0.2257261082431654
1990-06-30,1990.0,12.0,4368690.0,24.78620027763972,45.71806145889662,15.289973750964368,2090.1411435594487,-0.22793647383525695,4.36869,-0.14260885024408765,-0.34602742064478775,-0.2003639175476124,45.86085368727838,45.94599793273188,4456467.614523987,,-0.14279222838175798
1990-12-31,1990.0,13.0,5283060.0,20.93007285936974,47.94257824945412,15.480016033265379,2298.4908092050314,-0.5508276522983451,5.28306,-0.22793647383525695,-0.14260885024408765,-0.45965187324114964,48.28766317110179,48.49340590175247,5530071.548414508,,-0.34508492164766835
1991-06-30,1991.0,14.0,6380050.0,20.764291906584443,50.258094727500435,15.668686492280859,2525.876085638407,-0.7827191432726295,6.38005,-0.5508276522983451,-0.22793647383525695,-0.3863831599812926,50.482411003872095,51.040813870773064,6786883.012998287,,-0.22431627637165974
1991-12-31,1991.0,15.0,7557150.0,18.44969867007312,52.43116535640163,15.838004692952351,2749.02710063033,-1.1570564833920258,7.55715,-0.7827191432726295,-0.5508276522983451,-0.5480896816802385,52.853689481922814,53.588221839793654,8246646.6460923655,,-0.42252412552118557
1992-06-30,1992.0,16.0,8892540.0,17.67055040590699,54.60802337645898,16.000723280967247,2982.0362170838903,-1.5276064323552703,8.89254,-1.1570564833920258,-0.7827191432726295,-0.5611684584061152,55.01933497109242,56.13562980881425,9930117.745924575,,-0.4113115946334389
1992-12-31,1992.0,17.0,11032800.0,24.068039052958998,57.633027820674805,16.216383212142265,3321.5658957786763,-1.050009957160043,11.0328,-1.5276064323552703,-1.1570564833920258,0.2700481320922705,57.22569426712707,58.68303777783485,11859062.271133507,,0.4073335535477369
1993-06-30,1993.0,18.0,13067300.0,18.440468421434268,60.123806088715796,16.385623484305732,3614.872058593499,-1.1066396581396418,13.0673,-1.050009957160043,-1.5276064323552703,-0.2953651592795339,60.51908872888289,61.23044574685544,14056256.840768516,,-0.39528264016709613
1993-12-31,1993.0,19.0,16009500.0,22.51574541029899,63.2549391255954,16.588692854004265,4001.1873237827795,-0.5229145902806351,16.0095,-1.1066396581396418,-1.050009957160043,0.322782798683555,62.91369743341085,63.777853715876034,16545488.734289756,,0.34124169218454625
1994-06-30,1994.0,20.0,19283300.0,20.449108341921985,66.26669933793771,16.774749994325887,4391.275441144634,-0.05856234695892226,19.2833,-0.5229145902806351,-1.1066396581396418,0.17043884479603832,66.26421428051196,66.32526168489662,19351555.891568113,,0.0024850574257442304
1994-12-31,1994.0,21.0,24134400.0,25.157001135697726,70.09049491700064,16.99914876660612,4912.677477710093,1.2178252630834265,24.1344,-0.05856234695892226,-0.5229145902806351,0.9515097309228366,69.30041629241383,68.87266965391723,22500266.91288532,,0.7900786245868119
1995-06-30,1995.0,22.0,28154415.0,16.656784506762133,72.84279928006245,17.15321473861802,5306.073406955467,1.4227216571246402,28.154415,1.2178252630834265,-0.05856234695892226,-0.16459622288181208,73.40833175781032,71.42007762293781,26018441.058933754,,-0.5655324777478654
1995-12-31,1995.0,23.0,33785661.0,20.001289318211725,76.24003816363597,17.335547039672687,5812.543419192669,2.272552571677565,33.785661,1.4227216571246402,1.2178252630834265,0.45373525155282834,75.93735617750097,73.96748559195841,29933908.2508167,33785661.0,0.3026819861349992
1996-06-30,1996.0,24.0,38195466.0,13.052297541255742,78.61455369888095,17.45822737543298,6180.2480532742375,,38.195466,2.272552571677565,1.4227216571246402,,79.5633999049862,76.514893560979,34275509.07004813,39130907.3196405,
1996-12-31,1996.0,25.0,44042992.0,15.309476784495835,81.46465143501129,17.60067680574902,6636.489433427887,,44.042992,,2.272552571677565,,,79.06230152999959,39073094.7585528,45191615.724937655,
1997-06-30,1997.0,26.0,48705553.0,10.586385684242341,83.54002861072235,17.70130360619316,6978.936380280307,,48.705553,,,,,81.60970949902018,44357527.218666285,52052212.26672962,
1997-12-31,1997.0,27.0,55312293.0,13.564654527174755,86.23933831988147,17.82850573835254,7437.223473850978,,55.312293,,,,,84.15711746804078,50160679.01313488,59806282.84683624,
1998-06-30,1998.0,28.0,60831431.0,9.978139940790378,88.3144987291753,17.923617170596877,7799.450685785506,,60.831431,,,,,86.70452543706138,56515433.36511568,68557509.80631444,
1998-12-31,1998.0,29.0,69209321.0,13.772304649548687,91.20972516828127,18.052646108048926,8319.213965273402,,69.209321,,,,,89.25193340608197,63455684.15817653,78420700.2562182,
1999-06-30,1999.0,30.0,76284753.0,10.223235682372898,93.45648357704184,18.149983646666165,8734.11432258589,,76.284753,,,,,91.79934137510256,71016335.936296,89522914.84324165,
1999-12-31,1999.0,31.0,86047003.0,12.797118186906891,96.31278410076636,18.270404251427262,9276.152381240834,,86.047003,,,,,94.34674934412315,79233303.90386361,102004706.44589785,
